"Wed, 02/22/2006 4:57:02 to 4:59:33",2006,53
"Tue, 12/27/2005 23:10:47 to 23:13:18",2005,361
"Tue, 10/18/2005 22:09:14 to 22:11:45",2005,291
"Wed, 08/10/2005 2:04:20 to 2:06:51",2005,222
"Wed, 06/15/2005 1:14:44 to 1:17:15",2005,166
"Wed, 04/06/2005 3:31:07 to 3:33:38",2005,96
"Thu, 02/24/2005 23:23:23 to 23:25:54",2005,55
"Sat, 12/18/2004 8:58:08 to 9:00:39",2004,353
"Tue, 10/12/2004 20:50:39 to 20:53:10",2004,286
"Fri, 08/06/2004 21:07:56 to 21:10:27",2004,219
"Tue, 06/22/2004 23:17:50 to 23:20:21",2004,174
"Tue, 04/20/2004 22:22:29 to 22:25:00",2004,110
"Tue, 02/10/2004 18:54:49 to 18:57:20",2004,41
"Wed, 12/31/2003 21:27:59 to 21:30:30",2003,365
"Mon, 10/27/2003 12:29:09 to 12:31:40",2003,300
"Wed, 09/10/2003 20:38:26 to 20:40:57",2003,253
"Thu, 07/03/2003 11:14:50 to 11:17:20",2003,184
"Tue, 04/22/2003 17:52:41 to 17:55:12",2003,112
"Tue, 02/25/2003 13:46:00 to 13:48:31",2003,56
"Thu, 12/26/2002 23:33:23 to 23:35:54",2002,360
"Thu, 10/24/2002 22:25:00 to 22:27:31",2002,297
"Wed, 08/07/2002 23:52:11 to 23:54:42",2002,219
"Thu, 06/20/2002 0:47:04 to 0:49:35",2002,171
"Sat, 04/20/2002 4:36:33 to 4:39:04",2002,110
"Thu, 02/21/2002 20:28:29 to 20:31:00",2002,52
"Wed, 12/12/2001 15:33:22 to 15:35:52",2001,346
"Thu, 10/11/2001 15:15:35 to 15:18:06",2001,284
"Thu, 08/09/2001 1:12:45 to 1:15:16",2001,221
"Wed, 06/13/2001 19:27:39 to 19:30:10",2001,164
"Thu, 04/19/2001 1:13:28 to 1:15:59",2001,109
"Thu, 02/22/2001 20:11:59",2001,53
"Fri, 01/05/2001 21:53:22 to 21:55:53",2001,5
"Sat, 11/04/2000 21:39:13 to 21:41:44",2000,309
"Fri, 10/20/2000 5:55:00",2000,294
"Mon, 07/31/2000 0:20:47",2000,213
"Mon, 07/31/2000 0:16:47",2000,213
"Sun, 02/13/2000 21:20:00 to 21:22:31",2000,44
"Fri, 02/11/2000 19:04:09",2000,42
"Fri, 02/11/2000 19:01:35",2000,42
"Sun, 11/11/2018 21:47:46 to 21:50:17",2018,315
"Sat, 10/28/2017 22:05:58 to 22:08:29",2017,301
"Thu, 08/10/2017 21:10:33 to 21:13:04",2017,222
"Sat, 05/13/2017 21:16:24 to 21:18:55",2017,133
"Sat, 02/18/2017 21:40:57 to 21:43:28",2017,49
"Sat, 11/26/2016 22:05:57",2016,331
"Sat, 09/03/2016 20:52:01 to 20:54:32",2016,247
"Sat, 06/11/2016 21:17:13 to 21:19:44",2016,163
"Sat, 03/19/2016 21:41:02 to 21:43:33",2016,79
"Sat, 12/26/2015 20:27:14 to 20:29:45",2015,360
"Sat, 10/03/2015 20:51:47 to 20:54:18",2015,276
"Sat, 07/11/2015 21:17:32 to 21:20:03",2015,192
"Sat, 04/18/2015 21:41:15 to 21:43:46",2015,108
"Sat, 01/24/2015 22:06:06 to 22:08:37",2015,24
"Sat, 11/01/2014 20:51:49 to 20:54:20",2014,305
"Sat, 08/09/2014 21:16:36 to 21:19:07",2014,221
"Sat, 05/17/2014 21:41:31 to 21:44:05",2014,137
"Sun, 02/23/2014 21:10:16 to 21:12:47",2014,54
"Sun, 12/01/2013 21:34:50 to 21:37:21",2013,335
"Sun, 09/08/2013 20:20:54 to 20:23:25",2013,251
"Sun, 06/16/2013 20:45:38 to 20:48:09",2013,167
"Mon, 04/08/2013 20:27:16 to 20:29:47",2013,98
"Sun, 07/15/2012 20:45:14 to 20:47:45",2012,197
"Sun, 04/22/2012 21:09:59 to 21:12:30",2012,113
"Sun, 01/29/2012 21:34:26 to 21:36:57",2012,29
"Sun, 11/06/2011 20:20:10 to 20:22:41",2011,310
"Sun, 08/21/2011 20:51:15 to 20:53:46",2011,233
"Sun, 05/22/2011 21:09:54 to 21:12:15",2011,142
"Sun, 02/27/2011 21:34:31 to 21:37:02",2011,58
"Sun, 12/05/2010 20:20:23 to 20:22:54",2010,339
"Sun, 09/12/2010 20:45:09 to 20:47:40",2010,255
"Sun, 06/20/2010 21:10:10 to 21:12:41",2010,171
"Sun, 03/28/2010 21:34:56 to 21:37:27",2010,87
"Sun, 01/03/2010 20:20:45 to 20:23:15",2010,3
"Sun, 10/11/2009 20:45:19 to 20:47:50",2009,284
"Sun, 07/19/2009 21:10:21 to 21:12:52",2009,200
"Sun, 04/26/2009 21:35:49 to 21:38:20",2009,116
"Sun, 02/01/2009 20:21:33 to 20:24:04",2009,32
"Mon, 11/10/2008 23:07:40 to 23:10:11",2008,315
"Mon, 08/18/2008 23:32:35 to 23:35:06",2008,231
"Mon, 05/26/2008 22:18:25 to 22:20:55",2008,147
"Mon, 03/03/2008 22:42:44 to 22:45:14",2008,63
"Tue, 12/11/2007 22:11:51 to 22:14:21",2007,345
"Tue, 09/18/2007 22:36:49 to 22:39:20",2007,261
"Tue, 06/26/2007 23:01:25 to 23:03:56",2007,177
"Tue, 04/03/2007 20:08:36 to 20:11:06",2007,93
"Wed, 01/10/2007 17:58:28 to 18:00:59",2007,10
"Wed, 10/18/2006 0:12:52 to 0:15:23",2006,291
"Wed, 07/19/2006 2:10:55 to 2:13:26",2006,200
"Wed, 04/19/2006 0:50:17 to 0:52:48",2006,109
