filename,indices,cluster_num
2013017.0900,"(0, 0)",1
2013017.0900,"(0, 1)",1
2013017.0900,"(0, 2)",1
2013017.0900,"(0, 3)",15
2013017.0900,"(0, 4)",15
2013017.0900,"(0, 7)",9
2013017.0900,"(0, 8)",16
2013017.0900,"(0, 9)",17
2013017.0900,"(1, 0)",1
2013017.0900,"(1, 1)",15
2013017.0900,"(1, 2)",1
2013017.0900,"(1, 3)",1
2013017.0900,"(1, 4)",15
2013017.0900,"(1, 5)",15
2013017.0900,"(1, 7)",16
2013017.0900,"(1, 8)",1
2013017.0900,"(1, 9)",1
2013017.0900,"(2, 0)",15
2013017.0900,"(2, 1)",15
2013017.0900,"(2, 2)",1
2013017.0900,"(2, 3)",1
2013017.0900,"(2, 4)",15
2013017.0900,"(2, 5)",18
2013017.0900,"(2, 7)",16
2013017.0900,"(2, 8)",1
2013017.0900,"(2, 9)",1
2013017.0900,"(3, 0)",15
2013017.0900,"(3, 1)",15
2013017.0900,"(3, 2)",15
2013017.0900,"(3, 3)",15
2013017.0900,"(3, 4)",15
2013017.0900,"(3, 5)",15
2013017.0900,"(3, 7)",16
2013017.0900,"(3, 8)",0
2013017.0900,"(3, 9)",1
2013017.0900,"(4, 1)",15
2013017.0900,"(4, 2)",15
2013017.0900,"(4, 3)",15
2013017.0900,"(4, 4)",15
2013017.0900,"(4, 5)",15
2013017.0900,"(4, 7)",16
2013017.0900,"(4, 8)",1
2013017.0900,"(4, 9)",16
2013017.0900,"(5, 1)",15
2013017.0900,"(5, 2)",15
2013017.0900,"(5, 3)",15
2013017.0900,"(5, 4)",15
2013017.0900,"(5, 5)",1
2013017.0900,"(5, 6)",15
2013017.0900,"(5, 7)",15
2013017.0900,"(5, 8)",1
2013017.0900,"(6, 1)",16
2013017.0900,"(6, 2)",15
2013017.0900,"(6, 3)",15
2013017.0900,"(6, 4)",15
2013017.0900,"(6, 5)",15
2013017.0900,"(6, 6)",15
2013017.0900,"(6, 7)",15
2013017.0900,"(7, 2)",16
2013017.0900,"(7, 3)",15
2013017.0900,"(7, 4)",15
2013017.0900,"(7, 5)",15
2013017.0900,"(7, 6)",16
2013017.0900,"(7, 8)",9
2013017.0900,"(8, 0)",9
2013017.0900,"(8, 2)",16
2013017.0900,"(8, 8)",16
2013017.0900,"(9, 0)",16
2013017.0900,"(10, 0)",16
2013017.0900,"(10, 7)",16
2013017.0900,"(10, 8)",16
2013017.0900,"(10, 9)",16
2013017.0900,"(11, 0)",16
2013017.0900,"(11, 6)",9
2013017.0900,"(11, 7)",16
2013017.0900,"(11, 8)",16
2013017.0900,"(11, 9)",16
2013017.0900,"(12, 0)",16
2013017.0900,"(12, 7)",16
2013017.0900,"(12, 8)",16
2013017.0900,"(12, 9)",16
2013017.0900,"(13, 0)",9
2013017.0900,"(13, 7)",16
2013017.0900,"(13, 8)",16
2013017.0900,"(13, 9)",16
2013017.0900,"(14, 0)",9
2013017.0900,"(14, 1)",18
2013017.0900,"(14, 2)",18
2013017.0900,"(14, 9)",16
2010065.0755,"(0, 1)",4
2010065.0755,"(0, 2)",4
2010065.0755,"(0, 3)",2
2010065.0755,"(0, 5)",5
2010065.0755,"(0, 6)",5
2010065.0755,"(0, 7)",5
2010065.0755,"(0, 8)",13
2010065.0755,"(0, 9)",13
2010065.0755,"(1, 2)",4
2010065.0755,"(1, 3)",2
2010065.0755,"(1, 6)",5
2010065.0755,"(1, 7)",5
2010065.0755,"(1, 8)",5
2010065.0755,"(1, 9)",13
2010065.0755,"(2, 2)",4
2010065.0755,"(2, 3)",2
2010065.0755,"(2, 6)",5
2010065.0755,"(2, 7)",5
2010065.0755,"(2, 8)",5
2010065.0755,"(2, 9)",13
2010065.0755,"(3, 2)",4
2010065.0755,"(3, 6)",5
2010065.0755,"(3, 7)",5
2010065.0755,"(3, 9)",5
2010065.0755,"(4, 6)",5
2010065.0755,"(4, 7)",5
2010065.0755,"(4, 9)",5
2010065.0755,"(5, 6)",5
2010065.0755,"(5, 7)",5
2010065.0755,"(5, 9)",5
2010065.0755,"(6, 6)",5
2010065.0755,"(6, 7)",5
2010065.0755,"(7, 2)",12
2010065.0755,"(7, 7)",5
2010065.0755,"(7, 9)",13
2010065.0755,"(8, 1)",4
2010065.0755,"(8, 2)",2
2010065.0755,"(9, 0)",4
2010065.0755,"(9, 1)",12
2010065.0755,"(9, 2)",5
2010065.0755,"(9, 3)",5
2010065.0755,"(10, 0)",12
2010065.0755,"(10, 1)",5
2010065.0755,"(10, 2)",2
2010065.0755,"(10, 3)",4
2010065.0755,"(10, 4)",2
2010065.0755,"(10, 9)",13
