filename,patch_no,inval_pixels
MOD021KM.A2000260.0000.061.2017175004738.hdf,0,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,1,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,2,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,3,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,4,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,5,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,6,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,7,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,8,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,9,76
MOD021KM.A2000260.0000.061.2017175004738.hdf,10,54
MOD021KM.A2000260.0000.061.2017175004738.hdf,11,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,12,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,13,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,14,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,15,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,16,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,17,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,18,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,19,78
MOD021KM.A2000260.0000.061.2017175004738.hdf,20,121
MOD021KM.A2000260.0000.061.2017175004738.hdf,21,121
MOD021KM.A2000260.0000.061.2017175004738.hdf,22,111
MOD021KM.A2000260.0000.061.2017175004738.hdf,23,111
MOD021KM.A2000260.0000.061.2017175004738.hdf,24,111
MOD021KM.A2000260.0000.061.2017175004738.hdf,25,111
MOD021KM.A2000260.0000.061.2017175004738.hdf,26,3
MOD021KM.A2000260.0000.061.2017175004738.hdf,27,3
MOD021KM.A2000260.0000.061.2017175004738.hdf,28,3
MOD021KM.A2000260.0000.061.2017175004738.hdf,29,3
MOD021KM.A2000260.0000.061.2017175004738.hdf,30,106
MOD021KM.A2000260.0000.061.2017175004738.hdf,31,106
MOD021KM.A2000260.0000.061.2017175004738.hdf,32,47
MOD021KM.A2000260.0000.061.2017175004738.hdf,33,50
MOD021KM.A2000260.0000.061.2017175004738.hdf,34,22
MOD021KM.A2000260.0000.061.2017175004738.hdf,35,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,36,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,37,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,38,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,39,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,40,16
MOD021KM.A2000260.0000.061.2017175004738.hdf,41,53
MOD021KM.A2000260.0000.061.2017175004738.hdf,42,180
MOD021KM.A2000260.0000.061.2017175004738.hdf,43,180
MOD021KM.A2000260.0000.061.2017175004738.hdf,44,56
MOD021KM.A2000260.0000.061.2017175004738.hdf,45,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,46,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,47,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,48,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,49,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,50,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,51,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,52,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,53,14
MOD021KM.A2000260.0000.061.2017175004738.hdf,54,7
MOD021KM.A2000260.0000.061.2017175004738.hdf,55,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,56,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,57,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,58,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,59,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,60,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,61,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,62,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,63,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,64,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,65,0
MOD021KM.A2000260.0000.061.2017175004738.hdf,66,0
