,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,filename,patch_no,inval_pixels
0,0,0,0,0.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,0.0,76.0
1,1,1,1,1.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,1.0,54.0
2,2,2,2,2.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,2.0,78.0
3,3,3,3,3.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,3.0,121.0
4,4,4,4,4.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,4.0,111.0
5,5,5,5,5.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,5.0,3.0
6,6,6,6,6.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,6.0,106.0
7,7,7,7,7.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,7.0,47.0
8,8,8,8,8.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,8.0,50.0
9,9,9,9,9.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,9.0,22.0
10,10,10,10,10.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,10.0,0.0
11,11,11,11,11.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,11.0,0.0
12,12,12,12,12.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,12.0,0.0
13,13,13,13,13.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,13.0,16.0
14,14,14,14,14.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,14.0,53.0
15,15,15,15,15.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,15.0,180.0
16,16,16,16,16.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,16.0,56.0
17,17,17,17,17.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,17.0,0.0
18,18,18,18,18.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,18.0,0.0
19,19,19,19,19.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,19.0,0.0
20,20,20,20,20.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,20.0,0.0
21,21,21,21,21.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,21.0,0.0
22,22,22,22,22.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,22.0,0.0
23,23,23,23,23.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,23.0,0.0
24,24,24,24,24.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,24.0,14.0
25,25,25,25,25.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,25.0,7.0
26,26,26,26,26.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,26.0,0.0
27,27,27,27,27.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,27.0,0.0
28,28,28,28,28.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,28.0,0.0
29,29,29,29,29.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,29.0,0.0
30,30,30,30,30.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,30.0,0.0
31,31,31,31,31.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,31.0,0.0
32,32,32,32,32.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,32.0,0.0
33,33,33,33,33.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,33.0,0.0
34,34,34,34,34.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,34.0,0.0
35,35,35,35,35.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,35.0,0.0
36,36,36,36,36.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,36.0,0.0
37,37,37,37,37.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,37.0,0.0
38,38,38,38,38.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,38.0,0.0
39,39,39,39,39.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,39.0,0.0
40,40,40,40,40.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,40.0,0.0
41,41,41,41,41.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,41.0,19.0
42,42,42,42,42.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,42.0,0.0
43,43,43,43,43.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,43.0,0.0
44,44,44,44,44.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,44.0,0.0
45,45,45,45,45.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,45.0,0.0
46,46,46,46,46.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,46.0,0.0
47,47,47,47,47.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,47.0,0.0
48,48,48,48,48.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,48.0,0.0
49,49,49,49,49.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,49.0,0.0
50,50,50,50,50.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,50.0,1.0
51,51,51,51,51.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,51.0,0.0
52,52,52,52,52.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,52.0,0.0
53,53,53,53,53.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,53.0,0.0
54,54,54,54,54.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,54.0,0.0
55,55,55,55,55.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,55.0,0.0
56,56,56,56,56.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,56.0,0.0
57,57,57,57,57.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,57.0,0.0
58,58,58,58,58.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,58.0,0.0
59,59,59,59,59.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,59.0,0.0
60,60,60,60,60.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,60.0,0.0
61,61,61,61,61.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,61.0,0.0
62,62,62,62,62.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,62.0,0.0
63,63,63,63,63.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,63.0,0.0
64,64,64,64,64.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,64.0,0.0
65,65,65,65,65.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,65.0,0.0
66,66,66,66,66.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,66.0,0.0
