filename,patch_no,inval_pixels,fraction_invalid
MOD021KM.A2000260.0000.061.2017175004738.hdf,0,76,0.0007723341768035528
MOD021KM.A2000260.0005.061.2017175004931.hdf,23,3,3.048687540014024e-05
MOD021KM.A2000260.0010.061.2017175004603.hdf,6,6,6.097375080028048e-05
MOD021KM.A2000260.0015.061.2017175004552.hdf,51,3,3.048687540014024e-05
MOD021KM.A2000260.0020.061.2017175004526.hdf,3,1,1.0162291800046747e-05
MOD021KM.A2000260.0115.061.2017175004532.hdf,52,1,1.0162291800046747e-05
MOD021KM.A2000260.0120.061.2017175004842.hdf,46,5,5.0811459000233734e-05
MOD021KM.A2000260.0125.061.2017175004746.hdf,79,13,0.0001321097934006077
MOD021KM.A2000260.0130.061.2017175004732.hdf,10,2,2.0324583600093494e-05
MOD021KM.A2000260.0135.061.2017175004445.hdf,22,2,2.0324583600093494e-05
MOD021KM.A2000260.0140.061.2017175004552.hdf,1,30,0.0003048687540014024
MOD021KM.A2000260.0150.061.2017175004951.hdf,115,1,1.0162291800046747e-05
MOD021KM.A2000260.0155.061.2017175004407.hdf,1,162,0.0016462912716075728
MOD021KM.A2000260.0200.061.2017175004651.hdf,5,3,3.048687540014024e-05
MOD021KM.A2000260.0250.061.2017175004623.hdf,0,75,0.000762171885003506
MOD021KM.A2000260.0255.061.2017175004529.hdf,31,2,2.0324583600093494e-05
MOD021KM.A2000260.0315.061.2017175004353.hdf,12,3,3.048687540014024e-05
MOD021KM.A2000260.0320.061.2017175004823.hdf,56,11,0.00011178520980051422
MOD021KM.A2000260.0325.061.2017175004432.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2000260.0330.061.2017175004637.hdf,71,29,0.00029470646220135563
MOD021KM.A2000260.0335.061.2017175004457.hdf,68,1,1.0162291800046747e-05
MOD021KM.A2000260.0430.061.2017175004620.hdf,0,147,0.0014938568946068717
MOD021KM.A2000260.0435.061.2017175004710.hdf,1,2,2.0324583600093494e-05
MOD021KM.A2000260.0445.061.2017175005049.hdf,18,2,2.0324583600093494e-05
MOD021KM.A2000260.0455.061.2017175005230.hdf,26,9,9.146062620042072e-05
MOD021KM.A2000260.0500.061.2017175004804.hdf,86,2,2.0324583600093494e-05
MOD021KM.A2000260.0505.061.2017175004656.hdf,0,2,2.0324583600093494e-05
MOD021KM.A2000260.0510.061.2017175005252.hdf,1,5,5.0811459000233734e-05
MOD021KM.A2000260.0515.061.2017175004822.hdf,7,2,2.0324583600093494e-05
MOD021KM.A2000260.0610.061.2017175004639.hdf,0,178,0.0018088879404083208
MOD021KM.A2000260.0615.061.2017175004727.hdf,2,1,1.0162291800046747e-05
MOD021KM.A2000260.0620.061.2017175004540.hdf,42,1,1.0162291800046747e-05
MOD021KM.A2000260.0630.061.2017175005037.hdf,78,9,9.146062620042072e-05
MOD021KM.A2000260.0635.061.2017175005129.hdf,6,55,0.000558926049002571
MOD021KM.A2000260.0640.061.2017175005046.hdf,0,11,0.00011178520980051422
MOD021KM.A2000260.0645.061.2017175005526.hdf,11,1,1.0162291800046747e-05
MOD021KM.A2000260.0650.061.2017175004749.hdf,33,7,7.113604260032723e-05
MOD021KM.A2000260.0655.061.2017175005058.hdf,20,2,2.0324583600093494e-05
MOD021KM.A2000260.0750.061.2017175004950.hdf,0,44,0.00044714083920205686
MOD021KM.A2000260.0755.061.2017175005033.hdf,2,1,1.0162291800046747e-05
MOD021KM.A2000260.0800.061.2017175004821.hdf,26,1,1.0162291800046747e-05
MOD021KM.A2000260.0805.061.2017175004734.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2000260.0810.061.2017175005031.hdf,0,97,0.0009857423046045345
MOD021KM.A2000260.0815.061.2017175005025.hdf,11,4,4.064916720018699e-05
MOD021KM.A2000260.0820.061.2017175004639.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2000260.0825.061.2017175004912.hdf,1,29,0.00029470646220135563
MOD021KM.A2000260.0830.061.2017175004806.hdf,2,40,0.0004064916720018699
MOD021KM.A2000260.0835.061.2017175004643.hdf,15,11,0.00011178520980051422
MOD021KM.A2000260.0925.061.2017175004928.hdf,0,267,0.0027133319106124815
MOD021KM.A2000260.0930.061.2017175004811.hdf,9,1,1.0162291800046747e-05
MOD021KM.A2000260.0935.061.2017175004923.hdf,5,9,9.146062620042072e-05
MOD021KM.A2000260.0940.061.2017175004643.hdf,20,23,0.00023373271140107518
MOD021KM.A2000260.0945.061.2017175005103.hdf,2,10,0.00010162291800046747
MOD021KM.A2000260.0950.061.2017175004707.hdf,35,1,1.0162291800046747e-05
MOD021KM.A2000260.0955.061.2017175004847.hdf,7,1,1.0162291800046747e-05
MOD021KM.A2000260.1000.061.2017175004909.hdf,8,2,2.0324583600093494e-05
MOD021KM.A2000260.1005.061.2017175005352.hdf,1,4,4.064916720018699e-05
MOD021KM.A2000260.1010.061.2017175005201.hdf,2,5,5.0811459000233734e-05
MOD021KM.A2000260.1015.061.2017175005045.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2000260.1105.061.2017175004719.hdf,0,550,0.0055892604900257105
MOD021KM.A2000260.1110.061.2017175004636.hdf,4,2,2.0324583600093494e-05
MOD021KM.A2000260.1115.061.2017175005201.hdf,8,135,0.0013719093930063108
MOD021KM.A2000260.1120.061.2017175005122.hdf,2,70,0.0007113604260032722
MOD021KM.A2000260.1125.061.2017175005025.hdf,3,6,6.097375080028048e-05
MOD021KM.A2000260.1130.061.2017175005249.hdf,26,41,0.0004166539638019166
MOD021KM.A2000260.1135.061.2017175004907.hdf,116,1,1.0162291800046747e-05
MOD021KM.A2000260.1140.061.2017175004806.hdf,0,11,0.00011178520980051422
MOD021KM.A2000260.1145.061.2017175005311.hdf,39,1,1.0162291800046747e-05
MOD021KM.A2000260.1150.061.2017175005027.hdf,7,2,2.0324583600093494e-05
MOD021KM.A2000260.1245.061.2017175004816.hdf,0,430,0.004369785474020101
MOD021KM.A2000260.1250.061.2017175005021.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2000260.1255.061.2017175005118.hdf,0,153,0.0015548306454071523
MOD021KM.A2000260.1300.061.2017175004916.hdf,0,7,7.113604260032723e-05
MOD021KM.A2000260.1305.061.2017175005253.hdf,1,2,2.0324583600093494e-05
MOD021KM.A2000260.1310.061.2017175005114.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2000260.1315.061.2017175005403.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2000260.1320.061.2017175005238.hdf,1,94,0.0009552554292043942
MOD021KM.A2000260.1325.061.2017175005331.hdf,2,5,5.0811459000233734e-05
MOD021KM.A2000260.1330.061.2017175005314.hdf,4,1,1.0162291800046747e-05
MOD021KM.A2000260.1425.061.2017175005141.hdf,0,176,0.0017885633568082275
MOD021KM.A2000260.1430.061.2017175005548.hdf,7,1,1.0162291800046747e-05
MOD021KM.A2000260.1435.061.2017175005146.hdf,3,17,0.0001727589606007947
MOD021KM.A2000260.1440.061.2017175004913.hdf,7,7,7.113604260032723e-05
MOD021KM.A2000260.1445.061.2017175004942.hdf,52,6,6.097375080028048e-05
MOD021KM.A2000260.1450.061.2017175005104.hdf,111,1,1.0162291800046747e-05
MOD021KM.A2000260.1455.061.2017175004948.hdf,4,3,3.048687540014024e-05
MOD021KM.A2000260.1500.061.2017175005502.hdf,0,2,2.0324583600093494e-05
MOD021KM.A2000260.1505.061.2017175005208.hdf,0,40,0.0004064916720018699
MOD021KM.A2000260.1510.061.2017175005407.hdf,1,20,0.00020324583600093494
MOD021KM.A2000260.1600.061.2017175005003.hdf,0,353,0.0035872890054165015
MOD021KM.A2000260.1605.061.2017175005153.hdf,0,47,0.0004776277146021971
MOD021KM.A2000260.1610.061.2017175005048.hdf,3,130,0.0013210979340060772
MOD021KM.A2000260.1615.061.2017175005007.hdf,1,30,0.0003048687540014024
MOD021KM.A2000260.1620.061.2017175005239.hdf,36,13,0.0001321097934006077
MOD021KM.A2000260.1625.061.2017175005434.hdf,38,1,1.0162291800046747e-05
MOD021KM.A2000260.1630.061.2017175005153.hdf,0,7,7.113604260032723e-05
MOD021KM.A2000260.1635.061.2017175004935.hdf,0,6,6.097375080028048e-05
MOD021KM.A2000260.1640.061.2017175005500.hdf,1,2,2.0324583600093494e-05
MOD021KM.A2000260.1645.061.2017175005327.hdf,34,3,3.048687540014024e-05
MOD021KM.A2000260.1650.061.2017175005150.hdf,13,1,1.0162291800046747e-05
MOD021KM.A2000260.1740.061.2017175005456.hdf,0,75,0.000762171885003506
MOD021KM.A2000260.1745.061.2017175005112.hdf,1,4,4.064916720018699e-05
MOD021KM.A2000260.1750.061.2017175005351.hdf,4,1,1.0162291800046747e-05
MOD021KM.A2000260.1800.061.2017175005406.hdf,2,44,0.00044714083920205686
MOD021KM.A2000260.1805.061.2017175005930.hdf,69,8,8.129833440037398e-05
MOD021KM.A2000260.1810.061.2017175004855.hdf,16,1,1.0162291800046747e-05
MOD021KM.A2000260.1815.061.2017175005100.hdf,0,2,2.0324583600093494e-05
MOD021KM.A2000260.1820.061.2017175005233.hdf,9,10,0.00010162291800046747
MOD021KM.A2000260.1825.061.2017175005410.hdf,0,122,0.0012397995996057032
MOD021KM.A2000260.1920.061.2017175004937.hdf,0,600,0.006097375080028048
MOD021KM.A2000260.1925.061.2017175005405.hdf,6,4,4.064916720018699e-05
MOD021KM.A2000260.1930.061.2017175005150.hdf,0,52,0.0005284391736024308
MOD021KM.A2000260.1935.061.2017175005242.hdf,1,40,0.0004064916720018699
MOD021KM.A2000260.1940.061.2017175005418.hdf,0,65,0.0006605489670030386
MOD021KM.A2000260.1945.061.2017175005647.hdf,0,17,0.0001727589606007947
MOD021KM.A2000260.1950.061.2017175005030.hdf,1,3,3.048687540014024e-05
MOD021KM.A2000260.1955.061.2017175005258.hdf,1,21,0.00021340812780098168
MOD021KM.A2000260.2000.061.2017175005504.hdf,61,17,0.0001727589606007947
MOD021KM.A2000260.2005.061.2017175005217.hdf,74,3,3.048687540014024e-05
MOD021KM.A2000260.2100.061.2017175005158.hdf,0,752,0.007642043433635153
MOD021KM.A2000260.2105.061.2017175005747.hdf,26,23,0.00023373271140107518
MOD021KM.A2000260.2110.061.2017175005417.hdf,0,256,0.002601546700811967
MOD021KM.A2000260.2115.061.2017175005220.hdf,16,1,1.0162291800046747e-05
MOD021KM.A2000260.2120.061.2017175005126.hdf,0,4,4.064916720018699e-05
MOD021KM.A2000260.2125.061.2017175005813.hdf,57,3,3.048687540014024e-05
MOD021KM.A2000260.2130.061.2017175005259.hdf,11,3,3.048687540014024e-05
MOD021KM.A2000260.2135.061.2017175005348.hdf,0,20,0.00020324583600093494
MOD021KM.A2000260.2140.061.2017175005542.hdf,8,24,0.00024389500320112193
MOD021KM.A2000260.2145.061.2017175005155.hdf,21,1,1.0162291800046747e-05
MOD021KM.A2000260.2240.061.2017175005524.hdf,0,8,8.129833440037398e-05
MOD021KM.A2000260.2245.061.2017175005350.hdf,0,80,0.0008129833440037398
MOD021KM.A2000260.2250.061.2017175005605.hdf,7,3,3.048687540014024e-05
MOD021KM.A2000260.2255.061.2017175005456.hdf,59,22,0.00022357041960102843
MOD021KM.A2000260.2300.061.2017175005159.hdf,40,1,1.0162291800046747e-05
MOD021KM.A2000260.2305.061.2017175005510.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2000260.2310.061.2017175005544.hdf,31,2,2.0324583600093494e-05
MOD021KM.A2000260.2315.061.2017175005551.hdf,2,29,0.00029470646220135563
MOD021KM.A2000260.2325.061.2017175005526.hdf,1,1,1.0162291800046747e-05
MOD021KM.A2001015.0015.061.2017172022722.hdf,23,240,0.0024389500320112193
MOD021KM.A2001015.0020.061.2017172022814.hdf,1,200,0.002032458360009349
MOD021KM.A2001015.0135.061.2017172023301.hdf,26,23,0.00023373271140107518
MOD021KM.A2001015.0155.061.2017172023600.hdf,50,20,0.00020324583600093494
MOD021KM.A2001015.0250.061.2017172021848.hdf,0,19,0.0001930835442008882
MOD021KM.A2001015.0305.061.2017172022137.hdf,30,1,1.0162291800046747e-05
MOD021KM.A2001015.0315.061.2017172023101.hdf,53,1,1.0162291800046747e-05
MOD021KM.A2001015.0320.061.2017172022949.hdf,0,4,4.064916720018699e-05
MOD021KM.A2001015.0325.061.2017172022555.hdf,119,1,1.0162291800046747e-05
MOD021KM.A2001015.0335.061.2017172022717.hdf,95,4,4.064916720018699e-05
MOD021KM.A2001015.0510.061.2017172023942.hdf,3,204,0.0020731075272095363
MOD021KM.A2001015.0515.061.2017172022745.hdf,0,20,0.00020324583600093494
